Index	Area	Diameter	Ellipse ratio	Circularity	Convexity	Elongation	Red cursor	Green cursor
1032	5.13529	2.55704	0.684916	0.87974	0.979694	78.4478	0	0
1033	9.11101	3.40595	0.646801	0.877179	0.933575	75.0505	0	0
1034	3.31309	2.05386	0.823171	0.915656	0.975241	100	0	0
1035	13.915	4.20917	0.544382	0.86626	0.958004	65.1423	0	0
1036	7.12315	3.01156	0.580851	0.708729	0.841633	24.9703	0	0
1037	5.4666	2.63824	0.550481	0.919705	0.978065	100	0	0
1038	3.89288	2.22634	0.915378	0.903464	0.99983	100	0	0
1039	16.6483	4.60405	0.756348	0.894054	0.980539	100	0	0
1040	19.1331	4.93569	0.358867	0.844888	0.931449	53.6269	0	0
1041	103.7	11.4906	0.377828	0.726685	0.89815	27.1943	0	0
1042	7.53729	3.09787	0.914702	0.951065	0.979173	100	0	0
1043	12.0928	3.9239	0.753033	0.915265	0.942791	100	0	0
1044	10.9332	3.73103	0.947341	0.849022	0.979553	55.4358	0	0
1045	9.85645	3.54255	0.869789	0.963333	0.994587	100	0	0
1046	14.412	4.28368	0.801282	0.937646	0.967601	100	0	0
1047	27.83	5.95267	0.505168	0.588059	0.704457	14.4081	0	0
1048	30.3976	6.22121	0.891176	0.946225	0.93632	100	0	0
1049	10.9332	3.73103	0.834004	0.917606	0.996243	100	0	0
1050	23.523	5.47269	0.700884	0.825634	0.905509	46.6907	0	0
1051	8.86252	3.35918	0.689276	0.818517	0.926196	44.5752	0	0
1052	8.03425	3.19836	0.708117	0.864507	0.940074	63.9293	0	0
1053	4.96964	2.51546	0.760181	0.898624	0.994455	100	0	0
1054	6.0464	2.77462	0.632937	0.920628	0.987356	100	0	0
1055	16.8968	4.63828	0.400571	0.794862	0.91401	38.6749	0	0
1056	7.70294	3.13172	0.621536	0.873372	0.93465	70.9836	0	0
1057	3.31309	2.05386	0.617286	0.87974	0.995435	78.4486	0	0
1058	7.37163	3.06363	0.547787	0.833123	0.961636	49.1471	0	0
1059	26.8361	5.8454	0.54764	0.965165	0.982928	100	0	0
1060	4.30702	2.34177	0.847228	0.98699	0.972008	100	0	0
1061	12.2584	3.95069	0.840826	0.929731	0.981392	100	0	0
1062	5.13529	2.55704	0.998905	0.946661	0.986291	100	0	0
1063	5.79791	2.71701	0.971121	0.934784	0.947603	100	0	0
1064	3.6444	2.15411	0.873786	0.928914	0.969842	100	0	0
1065	15.4887	4.44082	0.828019	0.908041	0.992678	100	0	0
1066	73.3022	9.66081	0.575778	0.826661	0.906441	47.0126	0	0
1067	3.81006	2.20252	0.728344	0.893791	0.993064	100	0	0
1068	9.02818	3.39043	0.481027	0.885411	0.933061	91.7705	0	0
